masa_A
t	x	v_{x}
0,000000000E0	8,851158627E-1	
6,666666667E-2	8,936715594E-1	5,988987690E-1
1,000000000E-1	9,450057396E-1	2,881073826E0
1,333333333E-1	1,085743148E0	5,808121907E0
1,666666667E-1	1,332213867E0	8,623522814E0
2,000000000E-1	1,660644669E0	1,151798373E1
2,333333333E-1	2,100079449E0	1,430669816E1
2,666666667E-1	2,614424546E0	1,718434170E1
3,000000000E-1	3,245702229E0	1,993014595E1
3,333333333E-1	3,943100942E0	2,241027563E1
3,666666667E-1	4,739720604E0	
