masa_A
t	x	y
2,018683333E0	-2,070576913E1	-3,262063565E1
2,035366667E0	-2,012716595E1	-3,342643882E1
2,052050000E0	-1,939662046E1	-3,427705425E1
2,068733333E0	-1,862384366E1	-3,510686250E1
2,085416667E0	-1,773252887E1	-3,585246225E1
2,102100000E0	-1,677055446E1	-3,660079561E1
2,118783333E0	-1,567767685E1	-3,729477787E1
2,135466667E0	-1,453440354E1	-3,793714154E1
2,152150000E0	-1,332682250E1	-3,844170911E1
2,168833333E0	-1,203455938E1	-3,886448070E1
2,185516667E0	-1,069847374E1	-3,917585473E1
2,202200000E0	-9,351400833E0	-3,938597654E1
2,218883333E0	-7,979969884E0	-3,946541635E1
2,235566667E0	-6,602481644E0	-3,942654090E1
2,252250000E0	-5,252397750E0	-3,926511355E1
2,268933333E0	-3,920957687E0	-3,899965095E1
2,285616667E0	-2,644331703E0	-3,864969173E1
2,302300000E0	-1,455680679E0	-3,819207111E1
2,318983333E0	-3,517628272E-1	-3,763062027E1
2,335666667E0	6,894285595E-1	-3,704908890E1
2,352350000E0	1,676313325E0	-3,636140213E1
2,369033333E0	2,593656268E0	-3,564108271E1
2,385716667E0	3,421603095E0	-3,485280730E1
2,402400000E0	4,117731590E0	-3,408806897E1
2,419083333E0	4,774368876E0	-3,326579878E1
2,435766667E0	5,315569883E0	-3,249016597E1
2,452450000E0	5,817386463E0	-3,171737985E1
2,469133333E0	6,246098101E0	-3,098759076E1
2,485816667E0	6,576215932E0	-3,028225094E1
2,502500000E0	6,852631108E0	-2,964758370E1
2,519183333E0	7,091052041E0	-2,905191549E1
2,535866667E0	7,255952672E0	-2,852509480E1
2,552550000E0	7,383198920E0	-2,804014731E1
2,569233333E0	7,517269457E0	-2,763876044E1
2,585916667E0	7,579044024E0	-2,730335462E1
2,602600000E0	7,620991325E0	-2,703050509E1
2,619283333E0	7,649453368E0	-2,681797335E1
2,635966667E0	7,698839892E0	-2,668253229E1
2,652650000E0	7,702869029E0	-2,658649310E1
2,669333333E0	7,713455773E0	-2,658595981E1
2,686016667E0	7,698273298E0	-2,665771758E1
2,702700000E0	7,670862448E0	-2,679052692E1
2,719383333E0	7,624164142E0	-2,699761822E1
2,736066667E0	7,554602945E0	-2,728193146E1
2,752750000E0	7,462821062E0	-2,762149991E1
2,769433333E0	7,331318919E0	-2,803719760E1
2,786116667E0	7,199146026E0	-2,851174508E1
2,802800000E0	7,031264133E0	-2,904815068E1
2,819483333E0	6,817264674E0	-2,962063547E1
2,836166667E0	6,548188487E0	-3,023369989E1
2,852850000E0	6,239439278E0	-3,093571688E1
2,869533333E0	5,842189593E0	-3,165105041E1
2,886216667E0	5,360619621E0	-3,239209829E1
2,902900000E0	4,818340741E0	-3,316799903E1
2,919583333E0	4,199201349E0	-3,396208627E1
2,936266667E0	3,485416652E0	-3,475507038E1
2,952950000E0	2,664181395E0	-3,549634322E1
2,969633333E0	1,767701035E0	-3,626554096E1
2,986316667E0	7,945756366E-1	-3,694118849E1
3,003000000E0	-2,798463062E-1	-3,756586889E1
3,019683333E0	-1,415406751E0	-3,814059071E1
