masa_A
t	x	y
0,000000000E0	-2,357165985E1	-1,025010131E1
1,668333333E-2	-2,357555631E1	-1,028153883E1
3,336666667E-2	-2,356989960E1	-1,031429046E1
5,005000000E-2	-2,353896161E1	-1,037264141E1
6,673333333E-2	-2,350510315E1	-1,047538616E1
8,341666667E-2	-2,347549839E1	-1,065452772E1
1,001000000E-1	-2,345234753E1	-1,088169613E1
1,167833333E-1	-2,344678403E1	-1,119498068E1
1,334666667E-1	-2,341812015E1	-1,160210429E1
1,501500000E-1	-2,339693129E1	-1,204288890E1
1,668333333E-1	-2,331382657E1	-1,255474733E1
1,835166667E-1	-2,321081893E1	-1,314850035E1
2,002000000E-1	-2,306812559E1	-1,379789058E1
2,168833333E-1	-2,287434670E1	-1,449798848E1
2,335666667E-1	-2,261982968E1	-1,526320586E1
2,502500000E-1	-2,232442722E1	-1,603990378E1
2,669333333E-1	-2,194338886E1	-1,688999022E1
2,836166667E-1	-2,148382978E1	-1,775160537E1
3,003000000E-1	-2,093405292E1	-1,868113964E1
3,169833333E-1	-2,031075392E1	-1,952381530E1
3,336666667E-1	-1,958876586E1	-2,044149304E1
3,503500000E-1	-1,880246826E1	-2,129795800E1
3,670333333E-1	-1,784038751E1	-2,213458271E1
3,837166667E-1	-1,686353063E1	-2,291590635E1
4,004000000E-1	-1,574665280E1	-2,362164097E1
4,170833333E-1	-1,454967867E1	-2,430715279E1
4,337666667E-1	-1,328688028E1	-2,486185874E1
4,504500000E-1	-1,201261278E1	-2,529807526E1
4,671333333E-1	-1,062365394E1	-2,559232862E1
4,838166667E-1	-9,228295321E0	-2,583507608E1
5,005000000E-1	-7,801042477E0	-2,588157420E1
5,171833333E-1	-6,387617930E0	-2,588367547E1
5,338666667E-1	-4,988430613E0	-2,571922210E1
5,505500000E-1	-3,662176016E0	-2,543461794E1
5,672333333E-1	-2,375430904E0	-2,501314289E1
5,839166667E-1	-1,148442135E0	-2,452159617E1
6,006000000E-1	2,165831617E-2	-2,393181752E1
6,172833333E-1	1,058988495E0	-2,330385449E1
6,339666667E-1	2,054483661E0	-2,256073933E1
6,506500000E-1	3,010189624E0	-2,175602936E1
