masa_A
t	x	y
1,961960000E1	-2,327353287E1	-2,275948220E1
1,963628333E1	-2,325334290E1	-2,285616266E1
1,965296667E1	-2,324289238E1	-2,305698027E1
1,966965000E1	-2,317361178E1	-2,329149621E1
1,968633333E1	-2,317189534E1	-2,360013413E1
1,970301667E1	-2,313189169E1	-2,397846476E1
1,971970000E1	-2,306488859E1	-2,443501725E1
1,973638333E1	-2,301416641E1	-2,495978352E1
1,975306667E1	-2,289021252E1	-2,556829545E1
1,976975000E1	-2,274142387E1	-2,619041930E1
1,978643333E1	-2,259748638E1	-2,692835617E1
1,980311667E1	-2,235187682E1	-2,772221280E1
1,981980000E1	-2,203972277E1	-2,853988107E1
1,983648333E1	-2,164685050E1	-2,938767479E1
1,985316667E1	-2,116020565E1	-3,029736203E1
1,986985000E1	-2,060364687E1	-3,124412361E1
1,988653333E1	-1,995487403E1	-3,216351320E1
1,990321667E1	-1,918575920E1	-3,306606080E1
1,991990000E1	-1,830579836E1	-3,394394998E1
1,993658333E1	-1,731808275E1	-3,477786232E1
1,995326667E1	-1,626076779E1	-3,558253956E1
1,996995000E1	-1,511566079E1	-3,628578056E1
1,998663333E1	-1,377232645E1	-3,694494511E1
2,000331667E1	-1,247868144E1	-3,742949857E1
2,002000000E1	-1,109445064E1	-3,783021731E1
2,003668333E1	-9,602298556E0	-3,808221155E1
2,005336667E1	-8,138869515E0	-3,821202839E1
2,007005000E1	-6,734659822E0	-3,821216310E1
2,008673333E1	-5,288508943E0	-3,802086576E1
2,010341667E1	-3,910528679E0	-3,776487687E1
2,012010000E1	-2,532969673E0	-3,735489472E1
2,013678333E1	-1,294160128E0	-3,686202745E1
2,015346667E1	-1,304962354E-1	-3,625709686E1
2,017015000E1	9,972655464E-1	-3,557201014E1
2,018683333E1	2,037884857E0	-3,479676534E1
2,020351667E1	2,959502259E0	-3,398730198E1
2,022020000E1	3,790169971E0	-3,314468869E1
2,023688333E1	4,556529646E0	-3,226238425E1
2,025356667E1	5,173363788E0	-3,136964229E1
2,027025000E1	5,697106970E0	-3,051835671E1
2,028693333E1	6,117181762E0	-2,965143900E1
2,030361667E1	6,540191304E0	-2,880143589E1
2,032030000E1	6,831271171E0	-2,804263477E1
2,033698333E1	7,079631933E0	-2,733856064E1
2,035366667E1	7,265482022E0	-2,670923343E1
2,037035000E1	7,397044537E0	-2,614618421E1
2,038703333E1	7,508594814E0	-2,557875923E1
2,040371667E1	7,601706750E0	-2,511628690E1
2,042040000E1	7,667291937E0	-2,470682849E1
2,043708333E1	7,677283471E0	-2,437030085E1
2,045376667E1	7,702045897E0	-2,409383051E1
2,047045000E1	7,737525217E0	-2,391015305E1
2,048713333E1	7,726100443E0	-2,377147150E1
2,050381667E1	7,721079754E0	-2,373638347E1
2,052050000E1	7,733117634E0	-2,375830792E1
2,053718333E1	7,714308982E0	-2,385166399E1
2,055386667E1	7,732979419E0	-2,398796370E1
2,057055000E1	7,673373582E0	-2,424891825E1
2,058723333E1	7,655344670E0	-2,453910629E1
2,060391667E1	7,574999401E0	-2,491728320E1
2,062060000E1	7,507523178E0	-2,535042995E1
2,063728333E1	7,404633064E0	-2,586589647E1
2,065396667E1	7,269059175E0	-2,642585985E1
2,067065000E1	7,104837013E0	-2,705135450E1
2,068733333E1	6,881312880E0	-2,774939771E1
2,070401667E1	6,622461032E0	-2,849822746E1
2,072070000E1	6,268308221E0	-2,930371563E1
2,073738333E1	5,881028832E0	-3,012460229E1
2,075406667E1	5,367433576E0	-3,099428538E1
2,077075000E1	4,778203597E0	-3,185230492E1
2,078743333E1	4,094150099E0	-3,273620293E1
2,080411667E1	3,356757362E0	-3,360247542E1
2,082080000E1	2,437469282E0	-3,444083676E1
2,083748333E1	1,455629128E0	-3,523812677E1
2,085416667E1	3,993992483E-1	-3,593653411E1
2,087085000E1	-8,094717457E-1	-3,661187510E1
2,088753333E1	-2,063453768E0	-3,717393262E1
2,090421667E1	-3,373219458E0	-3,762000000E1
2,092090000E1	-4,764486100E0	-3,796324273E1
2,093758333E1	-6,171514507E0	-3,815995884E1
2,095426667E1	-7,554065421E0	-3,822662022E1
2,097095000E1	-8,935604666E0	-3,817409527E1
2,098763333E1	-1,036947278E1	-3,797155958E1
2,100431667E1	-1,173941273E1	-3,772158007E1
2,102100000E1	-1,296351850E1	-3,730555415E1
2,103768333E1	-1,424660724E1	-3,684495506E1
2,105436667E1	-1,533180040E1	-3,626472110E1
2,107105000E1	-1,634551694E1	-3,566868834E1
2,108773333E1	-1,729626004E1	-3,497355216E1
2,110441667E1	-1,822160528E1	-3,419807358E1
2,112110000E1	-1,904538891E1	-3,338671059E1
2,113778333E1	-1,974499864E1	-3,255245794E1
2,115446667E1	-2,040975658E1	-3,176068287E1
2,117115000E1	-2,091305441E1	-3,095467953E1
2,118783333E1	-2,137745483E1	-3,016458630E1
