masa_A
t	x	y
0,000000000E0	-2,316818635E1	-7,607433815E0
1,668333333E-2	-2,312091476E1	-7,702858252E0
3,336666667E-2	-2,311422340E1	-7,827678333E0
5,005000000E-2	-2,307984593E1	-8,039637622E0
6,673333333E-2	-2,306201638E1	-8,322405639E0
8,341666667E-2	-2,302613960E1	-8,671409059E0
1,001000000E-1	-2,300424103E1	-9,061299712E0
1,167833333E-1	-2,295486955E1	-9,539553261E0
1,334666667E-1	-2,286027639E1	-1,009318430E1
1,501500000E-1	-2,273233029E1	-1,072899878E1
1,668333333E-1	-2,256799991E1	-1,142069170E1
1,835166667E-1	-2,234926297E1	-1,215390830E1
2,002000000E-1	-2,202073675E1	-1,292999063E1
2,168833333E-1	-2,169905697E1	-1,374083041E1
2,335666667E-1	-2,124022657E1	-1,461229204E1
2,502500000E-1	-2,072453627E1	-1,549479931E1
2,669333333E-1	-2,012704882E1	-1,637352283E1
2,836166667E-1	-1,940569247E1	-1,728059553E1
3,003000000E-1	-1,861815994E1	-1,812583841E1
3,169833333E-1	-1,771420230E1	-1,899604998E1
3,336666667E-1	-1,672391312E1	-1,975082673E1
3,503500000E-1	-1,561172977E1	-2,051444905E1
3,670333333E-1	-1,445420029E1	-2,115273096E1
3,837166667E-1	-1,321017257E1	-2,172941005E1
4,004000000E-1	-1,189052151E1	-2,214256945E1
4,170833333E-1	-1,052274851E1	-2,245427919E1
4,337666667E-1	-9,117152025E0	-2,263251845E1
4,504500000E-1	-7,723642530E0	-2,274600032E1
4,671333333E-1	-6,323003186E0	-2,264250793E1
4,838166667E-1	-4,977590066E0	-2,248913692E1
5,005000000E-1	-3,618047221E0	-2,219079755E1
5,171833333E-1	-2,363851304E0	-2,177110667E1
5,338666667E-1	-1,152663093E0	-2,125632114E1
5,505500000E-1	7,860354606E-3	-2,061864240E1
5,672333333E-1	1,013426169E0	-1,997340259E1
5,839166667E-1	1,986938438E0	-1,921102929E1
6,006000000E-1	2,907637800E0	-1,840762737E1
6,172833333E-1	3,705070206E0	-1,757230767E1
6,339666667E-1	4,388554039E0	-1,670899135E1
6,506500000E-1	4,996211339E0	-1,584992184E1
6,673333333E-1	5,529778898E0	-1,499258979E1
6,840166667E-1	5,981311504E0	-1,419967645E1
7,007000000E-1	6,344762220E0	-1,344333574E1
7,173833333E-1	6,638176369E0	-1,268786513E1
7,340666667E-1	6,895958725E0	-1,200309066E1
7,507500000E-1	7,074781318E0	-1,137167546E1
7,674333333E-1	7,217533836E0	-1,078208925E1
7,841166667E-1	7,380421050E0	-1,024937675E1
8,008000000E-1	7,443515419E0	-9,793317373E0
8,174833333E-1	7,492339077E0	-9,378794481E0
8,341666667E-1	7,522039966E0	-9,062937749E0
8,508500000E-1	7,550286478E0	-8,803597373E0
8,675333333E-1	7,549158381E0	-8,583472322E0
8,842166667E-1	7,535326949E0	-8,460503149E0
9,009000000E-1	7,559552472E0	-8,373732495E0
9,175833333E-1	7,554968620E0	-8,354391814E0
9,342666667E-1	7,544217180E0	-8,435296498E0
9,509500000E-1	7,543835125E0	-8,560397174E0
9,676333333E-1	7,536981843E0	-8,766334893E0
9,843166667E-1	7,485013049E0	-9,062238332E0
1,001000000E0	7,439246988E0	-9,381185689E0
1,017683333E0	7,388017056E0	-9,788482285E0
1,034366667E0	7,301290449E0	-1,024439574E1
1,051050000E0	7,202456637E0	-1,074121611E1
1,067733333E0	7,091658999E0	-1,133311490E1
1,084416667E0	6,910553344E0	-1,196964193E1
1,101100000E0	6,660137559E0	-1,267581516E1
1,117783333E0	6,367805788E0	-1,341199929E1
1,134466667E0	5,981772698E0	-1,421257170E1
1,151150000E0	5,513281035E0	-1,502680256E1
1,167833333E0	5,004802702E0	-1,586937759E1
1,184516667E0	4,379994100E0	-1,670824218E1
1,201200000E0	3,700577194E0	-1,753684846E1
1,217883333E0	2,901101941E0	-1,836114408E1
1,234566667E0	2,011610907E0	-1,916092180E1
1,251250000E0	1,019983031E0	-1,993606936E1
1,267933333E0	3,311172614E-3	-2,058972724E1
1,284616667E0	-1,171121603E0	-2,122772963E1
1,301300000E0	-2,430107844E0	-2,175013768E1
1,317983333E0	-3,681629211E0	-2,217537278E1
1,334666667E0	-5,045875305E0	-2,248166665E1
1,351350000E0	-6,395582424E0	-2,264729642E1
1,368033333E0	-7,785147837E0	-2,270098671E1
1,384716667E0	-9,128913234E0	-2,263631660E1
1,401400000E0	-1,046224861E1	-2,246529013E1
1,418083333E0	-1,180308632E1	-2,216935900E1
1,434766667E0	-1,302583005E1	-2,177055112E1
1,451450000E0	-1,421368952E1	-2,124476603E1
1,468133333E0	-1,529616854E1	-2,072297515E1
1,484816667E0	-1,632089230E1	-2,011682029E1
1,501500000E0	-1,718348650E1	-1,948723516E1
1,518183333E0	-1,803205357E1	-1,880463175E1
1,534866667E0	-1,881349149E1	-1,799852376E1
1,551550000E0	-1,956271900E1	-1,720246363E1
1,568233333E0	-2,019237929E1	-1,640796313E1
1,584916667E0	-2,073265931E1	-1,563838221E1
1,601600000E0	-2,120010848E1	-1,487423892E1
1,618283333E0	-2,160370217E1	-1,415638215E1
1,634966667E0	-2,190520725E1	-1,345370503E1
1,651650000E0	-2,213302609E1	-1,280592863E1
1,668333333E0	-2,235011950E1	-1,219620174E1
1,685016667E0	-2,254983997E1	-1,163293664E1
